"Bereich";"Seite/Funktionsbereich";"URL-/Routenmuster";"Funktionen und Bedienelemente";"Zugriff/Beschränkungen"
"Anfrage – Lead-Informationen";"Lead-Informationen";"/360h/request/{id}/request";"Lead-Workflow und Analyseansicht.";""
"Anfrage – Qualifikation";"Lead-Präqualifikation";"/360h/request/{id}/checklist";"Checkliste, Als irrelevant markieren, Workflow-Navigation.";""
"Projekte – Haushalt";"Angebote";"/360h/offers";"Standard, Liste/Kanban, Suche, Sortierung Erstellt/Bearbeitet, Nutzer/Teams/Tags/Quellen/Vertriebsstatus/Archiviert.";""
"Projekte – Gewerbe";"Angebote";"/360b/offers";"Standard, Liste/Kanban, Alle Angebote, Suche, Erstellt/Bearbeitet, Nutzer, Teams, Tags, Quellen, Vertriebsstatus, Archiviert, Link zu Haushalt.";""
"Angebot – Detail";"Angebot – Detailseite";"/360h/offer/{id}/basics";"Angebotsworkflow, Status/Zuordnung und Projektkommunikationsbereiche.";""
"Angebot – Beratung";"Beratung";"/360h/offer/{id}/consultation";"Beratungs-/Statusschritte und Workflow-Navigation.";""
"Angebot – Planung";"Planung / Verbrauch";"/360h/offer/{id}/components/consumption?moveToPrompt=h360Offer";"Eingabefelder Verbrauch/Tarife, Weiter, Planungsschrittnavigation.";""
"Projekte – Haushalt";"Installationen";"/360h/installations";"Standard, Liste/Kanban, Installation anlegen, Suche, Sortierung, Nutzer/Teams/Tags/Quellen/Vertriebsstatus/Archiviert.";""
"Projekte – Gewerbe";"Installationen";"/360b/installations";"Liste/Kanban, Alle Installationen, Suche, Erstellt/Bearbeitet, Nutzer, Teams, Tags, Quellen, Vertriebsstatus, Archiviert, Link zu Haushalt.";"Teilfunktion deaktiviert"
"Installation – Terminierung";"Terminierung";"/360h/installation/{id}/calendar";"Kalenderansicht, Workflownavigation, Kalenderauswahl.";""
"Installation – Arbeitsheft";"Arbeitsheft";"/360h/installation/{id}/workbook";"Varianten-/Arbeitsheft-Navigation.";""
"Installation – Baustellendokumentation";"Baustellendokumentation";"/360h/installation/{id}/installation";"Dokumentations-/Checklistenbereiche und Workflownavigation.";""
"Verwaltung";"Photogrammetrie";"/photogrammetry/jobs";"Job erstellen, Suche nach Jobname, Nutzer- und Archivfilter, Job-Detail öffnen.";""
"Photogrammetrie – Detail";"Photogrammetrie – Jobdetail";"/photogrammetry/jobs/{id}";"Schritte Bilder hochladen, Flugpfad prüfen, Job starten, Assets/Job-Ausgaben löschen/zurücksetzen, Herunterladen, Zum Angebot hinzufügen.";""
"Services";"Wärmepumpenförderung";"/services/hp-subsidy/subsidies";"Neuer Service/Anfrage, Statusübersicht, Nachrichten; Services-Untermenüs.";""
"Services";"Netzanmeldung Statusübersicht";"/services/grid-registration/grid-registrations?view=pv";"Ansichten PV/Wärmepumpe/Wallbox, Neu, Statusübersicht, Servicehinweise.";""
"Services";"Netzanmeldung Statusübersicht – Wallbox-Parameter";"/services/grid-registration/grid-registrations?view=wallbox";"Statusansicht und Neu-Schaltfläche.";"Unterschied des URL-Parameters nicht verifiziert"
"Services";"Öltankentfernung";"/services/oil-tank-removal/oil-tank-removals";"Neu, Anfrage-/Statusübersicht, Okay.";""
"Services";"Baustellenservice";"/services/baustellenservice/baustellenservices";"Neu, Anfrage-/Statusübersicht, Okay.";""
"Verkaufsassistent";"Verkaufsassistent";"/sales-assistant";"Suche, Neue Analyse, Analyse-/Wettbewerber-Detail, Konkurrenzangebote hochladen; Zustimmung erforderlich; Analyse erstellen war deaktiviert.";""
"Verkaufsassistent – Analyse";"Verkaufsassistent – Analyse";"/sales-assistant/{id}";"Angebot hinzufügen, Druck/Angebotsdetails, Wettbewerber ansehen, detaillierte Analyse.";""
"Verkaufsassistent – Wettbewerber";"Verkaufsassistent – Wettbewerberdetail";"/sales-assistant/competitors/{id}";"Daten aktualisieren, Analyse anzeigen, Wettbewerber-Navigation.";""
"Rechnungen";"Rechnungen – Übersicht";"/invoicing/document-groups";"Neu, Archiviert, Gruppen-Navigation, Suche nach Rechnungen/Projekten.";""
"Rechnungen";"Rechnungen";"/invoicing/all-invoices";"Neu, Suche, Status-/Zahlungs-/Datumsfilter.";""
"Rechnungen";"Gutschriften";"/invoicing/credit-notes";"Neu, Suche, Filter.";""
"Rechnungen";"Auftragsbestätigungen";"/invoicing/offer-confirmations";"Neu, Suche, Filter.";""
"Rechnungen";"Bestellungen";"/invoicing/purchase-orders";"Neu, Suche, Filter.";""
"Rechnungen";"Lieferscheine";"/invoicing/deliver-notes";"Neu, Suche, Filter.";""
"Rechnungen";"Briefe";"/invoicing/letters";"Neu, Suche, Filter.";""
"Rechnungen";"Berichte";"/backoffice/reports";"Übersicht, Forderungen, Daten herunterladen.";""
"Zeiterfassung";"Zeiterfassung";"/timetracking";"Einführung/Verstanden; die beschriebenen Funktionen umfassen Timer, manuelle Zeit, Filter/Suche und Excel-Export.";""
"Komponenten";"Komponenten";"/settings/components/all";"Suche, Quelle/Typ/Erstellt/Bearbeitet/Archiviert-Filter, Komponente importieren, Komponenten-Detail öffnen.";""
"Komponente – Detail";"Komponente – Detailseite";"/settings/component/{id}/latest";"Bild ablegen, Bearbeiten, Text hinzufügen, Dokumente/3D-Modell hochladen, Speichern/Schließen.";""
"Updates";"Release Notes";"/release-notes";"Update-Liste/Lesen.";""
"Einstellungen – Nutzer";"Mein Nutzer / Profil";"/portal-settings";"Profil-/Verbindungs-/Signaturfelder, Speichern.";""
"Einstellungen – Firmeneinstellungen";"Firmendetails";"/portal-settings?settings=company-details";"Firmendatenformular, Speichern.";""
"Einstellungen – Firmeneinstellungen";"Branding";"/portal-settings?settings=branding";"Logo hochladen, Farben bearbeiten, Speichern.";""
"Einstellungen – Firmeneinstellungen";"Pflichtfelder";"/portal-settings?settings=required-fields";"Pflichtfeldschalter/Checkboxen, Speichern.";""
"Einstellungen – Firmeneinstellungen";"Lizenzen & Rechnungen";"/portal-settings?settings=licenses-and-billing";"Lizenz-/Rechnungsverwaltung, Kündigungsschaltfläche.";""
"Einstellungen – Firmeneinstellungen";"Nutzer & Teams";"/portal-settings?settings=users&tab=users";"Suche/Filter Rolle, Lizenz, Berechtigungen, Rechte, externe Nutzer, Archiviert; Nutzer erstellen.";""
"Einstellungen – Firmeneinstellungen";"Features";"/portal-settings?settings=features";"Feature-Toggles, Speichern.";""
"Einstellungen – Firmeneinstellungen";"Integrationen";"/portal-settings?settings=integrations";"Keine belastbaren Bedienelemente beobachtet.";"Inhalt teilweise leer/unvollständig"
"Einstellungen – Organisation";"Rechnungsstellung";"/portal-settings?settings=invoicing&tab=issuing-details";"Formularfelder, Speichern.";""
"Einstellungen – Organisation";"Persönliche Terminkalender";"/portal-settings?settings=calendars&tab=personal-calendars";"Microsoft-Kalender hinzufügen, Google-Account verbinden, Standardkalender.";""
"Einstellungen – Organisation";"Unternehmenskalendar";"/portal-settings?settings=calendars&tab=company-calendars";"Google-Workspace verbinden, Google-Kalender hinzufügen, Reonic-Kalender erstellen.";"Integration nicht verbunden"
"Einstellungen – Organisation";"Benutzer-Kalender";"/portal-settings?settings=calendars&tab=user-calendars";"Kalenderansicht/-verwaltung.";""
"Einstellungen – Organisation";"Terminvorlagen";"/portal-settings?settings=calendar-templates";"Terminvorlage erstellen, Archiviert.";""
"Einstellungen – Organisation";"Kalender-Kategorien";"/portal-settings?settings=calendar-categories";"Kategorie erstellen, Archiviert.";""
"Einstellungen – Organisation";"Ordnerverwaltung";"/portal-settings?settings=folder-management&tab=h360";"Ordner erstellen, Tabs Haushalt/Gewerbe.";""
"Einstellungen – Organisation";"Persönliche Postfächer";"/portal-settings?settings=mail-inbox&tab=personal-inboxes";"Microsoft-Postfach hinzufügen, Google-Account verbinden.";""
"Einstellungen – Organisation";"Firmenweite Postfächer";"/portal-settings?settings=mail-inbox&tab=company-inboxes";"Postfach hinzufügen/verbinden.";"Inhalt teilweise im Ladezustand"
"Einstellungen – Organisation";"Zeiterfassungskategorien";"/portal-settings?settings=time-tracking";"Kategorie erstellen, Archivieren/Verwalten.";""
"Einstellungen – Organisation";"Persönliche Benachrichtigungen";"/portal-settings?settings=notifications&tab=personal";"Toggles, Uhrzeitfeld, Speichern.";""
"Einstellungen – Organisation";"Firmenweite Benachrichtigungen";"/portal-settings?settings=notifications&tab=company-wide";"Firmenweite Benachrichtigungsschalter/-adressen, Speichern.";""
"Einstellungen – Kanban Boards";"Board Management";"/portal-settings?settings=kanban-boards&tab=h360";"Board erstellen, Status bearbeiten/archivieren, Tabs.";""
"Einstellungen – Kanban Boards";"Kartenkonfiguration";"/portal-settings?settings=kanban-cards&tab=h360";"Karten-/Tag-Konfiguration, Speichern.";""
"Einstellungen – Aufgaben";"Aufgabenvorlagen & Label";"/portal-settings?settings=tasks&tab=personal";"Vorlage erstellen, Tabs/Archiv.";""
"Einstellungen – Aufgaben";"Projektmanagement (Gewerbe)";"/portal-settings?settings=project-management";"Keine nutzbaren Bearbeitungsfunktionen sichtbar.";"Bereich nicht zugänglich"
"Einstellungen – Checklisten";"Qualifikation";"/portal-settings?settings=checklist-qualification&tab=h360";"Segment/Block/Element hinzufügen, Vorschau, Speichern.";"Teilbereich eingeschränkt"
"Einstellungen – Checklisten";"Beratung";"/portal-settings?settings=checklist-consulting&tab=h360";"Editor, Vorschau, Speichern.";"Teilbereich eingeschränkt"
"Einstellungen – Checklisten";"Baustellendokumentation";"/portal-settings?settings=checklist-site-documentation&tab=h360";"Editor, Abschnitte/Elemente, Vorschau, Speichern.";"Teilbereich eingeschränkt"
"Einstellungen – Lead Generierung";"Energiehaus – Pakete";"/portal-settings?settings=energyhouse&tab=packages";"Pakete hinzufügen, öffentlich-Schalter, Zeilenmenüs.";""
"Einstellungen – Lead Generierung";"Energiehaus – Anzeigeeinstellungen";"/portal-settings?settings=energyhouse&tab=display-settings";"Textfelder, Schalter, Vorschaubereiche, Speichern.";""
"Einstellungen – Lead Generierung";"Energiehaus – Varianten/Links";"/portal-settings?settings=energyhouse&tab=links";"Konfigurationszeilen, Nutzerlinks, Öffnen/QR-/Mehr-Menüs.";""
"Einstellungen – Lead Generierung";"Energiehaus – Einbindung";"/portal-settings?settings=energyhouse&tab=embedding";"Codeblöcke und Skript kopieren, Tracking-Hinweise.";""
"Einstellungen – Lead Generierung";"Energiefirma – Anzeigeeinstellungen";"/portal-settings?settings=energycompany&tab=display-settings";"Textfelder, Schalter, Vorschau, Speichern.";""
"Einstellungen – Lead Generierung";"Energiefirma – Einbindung";"/portal-settings?settings=energycompany&tab=embedding";"Codeblöcke, Skript kopieren, Tracking-Hinweise.";""
"Einstellungen – Lead Generierung";"Energiefirma – Kostenprofile";"/portal-settings?settings=energycompany&tab=cost-profiles";"Kostenprofil erstellen.";""
"Einstellungen – Lead Generierung";"Energiemieter";"/portal-settings?settings=energytenant";"Keine nutzbaren Inhalts-/Bearbeitungsfunktionen sichtbar.";"Bereich nicht zugänglich"
"Einstellungen – Lead Generierung";"Kontakt-Formular";"/portal-settings?settings=contact-form&tab=h360";"Vorschau, Feldkonfiguration, Snippet, Speichern.";"Teilbereich eingeschränkt"
"Einstellungen – Lead Generierung";"Leadquellen";"/portal-settings?settings=lead-sources&tab=h360";"Haushalts-/Gewerbe-Tabs und Quellenverwaltung.";""
"Einstellungen – Planung & Angebot";"Planung";"/portal-settings?settings=planning";"Dropdowns/Toggles, Speichern.";""
"Einstellungen – Planung & Angebot";"Angebotsvorlagen";"/portal-settings?settings=planning-templates-and-packages&tab=offer-templates";"Suche, Angebotsvorlage erstellen, Zeilenmenü, Tabs.";""
"Einstellungen – Planung & Angebot";"Planungspakete";"/portal-settings?settings=planning-templates-and-packages&tab=planning-packages";"Suche, Paket erstellen, Aktivstatus, Zeilenmenüs.";""
"Einstellungen – Planung & Angebot";"Planungsvorlagen";"/portal-settings?settings=planning-templates-and-packages&tab=planning-templates";"Suche, Vorlage erstellen, Status/Zeilenmenü.";""
"Einstellungen – Planung & Angebot";"KI-Planungsvalidierung";"/portal-settings?settings=ai-project-checker";"Vorlagenliste, Aktivstatus, Bearbeitungs-/Mehr-Menüs.";""
"Einstellungen – Planung & Angebot";"Förderungen";"/portal-settings?settings=subsidies&tab=h360";"Förderung erstellen, Tabs.";""
"Einstellungen – Planung & Angebot";"Photogrammetrie-Abonnement";"/portal-settings?settings=photogrammetry-subscription";"Abonnieren, kostenlose Jobs, Kosten-/Leistungsinformationen.";""
"Einstellungen – Planung & Angebot";"Rabattvorlagen";"/portal-settings?settings=rebate-templates";"Rabattvorlage erstellen, Archivfilter.";""
"Einstellungen – Planung & Angebot";"Vorlagen für laufende Kosten";"/portal-settings?settings=recurring-cost-templates";"Keine nutzbaren Funktionen sichtbar.";"Bereich nicht zugänglich"
"Einstellungen – Planung & Angebot";"Angebot – Allgemein";"/portal-settings?settings=offer-general&tab=h360";"Felder, Toggles, Tabs, Speichern.";""
"Einstellungen – Planung & Angebot";"Seiten & Design";"/portal-settings?settings=offer-pages-and-design&tab=h360";"Seiten-/Designkonfiguration, Reihenfolge/Schalter, Speichern.";""
"Einstellungen – Planung & Angebot";"Rechtliches";"/portal-settings?settings=offer-legal&tab=h360";"Vorlage erstellen, Vorlagenverwaltung, Tabs.";""
"Einstellungen – Simulation";"Simulationsgrundlagen";"/portal-settings?settings=simulation-basics&tab=h360";"Eingabe/Dropdowns, Speichern.";""
"Einstellungen – Simulation";"Strom & Gaspreise";"/portal-settings?settings=energy-gas-price";"Tarif erstellen, Preisfelder, Speichern.";""
"Einstellungen – Simulation";"Heizlast Materialien";"/portal-settings?settings=heating-load-materials";"Material erstellen, Felder, Speichern.";""
"Einstellungen – Fortschrittsverfolgung";"Installationsfortschritt";"/portal-settings?settings=installation-tracking";"Statusverwaltung/Bearbeiten.";""
"Einstellungen – Fortschrittsverfolgung";"FAQ";"/portal-settings?settings=faq";"FAQ-Bereich und Verwaltungsnavigation.";""
"Einstellungen – Vorlagen für Dateianfragen";"Vorlagen für Dateianfragen";"/portal-settings?settings=file-request-templates";"Vorlagen-/Aktivschalter, Archiv-/Bearbeitungsfunktionen.";""
"Einstellungen – Kundenkommunikation";"Automatische E-Mails";"/portal-settings?settings=automatic-emails&tab=h360";"E-Mail-Inhalte öffnen, Tabs, Speichern.";""
"Einstellungen – API / Developers";"Webhooks";"/portal-settings?settings=api-webhooks-page";"Dokumentation, Endpunkt-/Signaturschlüssel-Felder, Ereignisse auswählen, Speichern, Testereignis senden.";""
"Einstellungen – API / Developers";"API";"/portal-settings?settings=api";"Dokumentation, Logs anzeigen, API-Schlüssel erstellen, Aktivverwaltung.";""
"Verkaufsassistent";"Verkaufsassistent – Analysen";"/sales-assistant/analyses";"Neue Analyse, Analyse öffnen, Wettbewerber-Navigation.";""
"Verkaufsassistent";"Verkaufsassistent – Wettbewerberliste";"/sales-assistant/competitors";"Zusammenführen, Wettbewerber öffnen, Analyse-/Angebotsnavigation.";""
"Verkaufsassistent";"Verkaufsassistent – Neue Analyse";"/sales-assistant/new";"Konkurrenzangebote hochladen, Zustimmung, Analyse erstellen.";""
"Dateien – Übersicht";"Meine Dateien";"/files?subview=files";"Tabs Dateien und Datei-Anfragen; Dateien auswählen; Dropzone/Klickbereich";""
"Dateien – Datei-Anfragen";"Meine Dateien";"/files?subview=fileRequests";"Tabs Dateien und Datei-Anfragen; Los geht's; Nicht jetzt";""
"Notizen";"Meine Notizen";"/notes";"Formatierungsleiste mit H1 bis H6; Aufnehmen; Absenden; @-Benachrichtigungen; Editor";""
"Aufgaben – zusätzliche Ansicht";"Aufgaben";"/tasks";"Alle Aufgaben; Suche; Fälligkeit; Nutzer; Teams; Labels; Abgeschlossen; Aufgabe hinzufügen; Zeilenaktionen";""
"Agenten – Leeransicht im KI/Agenten-Reiter";"Aufgaben";"/tasks";"Reonic KI; Agenten; Plus/Add-Control; Schritt-für-Schritt Agenten-Erstellung";""
"Reonic KI – generisches Modal";"Reonic KI";"/tasks";"Vorschläge Fasse zusammen, was ich gerade sehe; Was sind meine offenen Aufgaben?; Entwirf eine Notiz für dieses Projekt; Anhang; Frag mich alles…; Senden";""
"Schritt-für-Schritt Agenten-Erstellung – KI-Modal";"Reonic KI";"/tasks";"Chat-Eingabe Frag mich alles…; Anhang; Senden; Modal-Steuerung für neues/erweitertes/schließbares Fenster";""
"Agenten – Liste";"Agenten Beta";"/agents";"Suche; Neuer Agent; Agenten vorschlagen; Agenten-Karte; Läufe letzte 30 Tage";""
"Agenten – Vorschlagsdialog, Scan";"Arbeitsbereich wird gescannt";"/agents";"Scan-/Dialogschließen-Steuerung sichtbar";""
"Agenten – Vorschlagsdialog, erweitert";"Agenten vorschlagen";"/agents";"Agenten vorschlagen; Mehr anzeigen; Agenten erstellen deaktiviert; Karten mit Beheben mit und Auslösern Bei Anfrageerstellung oder täglich 06:00/07:00";""
"Agenten – Neuer Agent";"Agenten / Neuer Agent";"/agents/{id}";"Name-Eingabe; Ziel-Textarea; Statusschalter; Nein/Ja-Schalter; Job hinzufügen; Speichern";""
"Agenten – Job-Konfiguration";"Agenten / Neuer Agent / Job 1";"/agents/{id}/tasks/{id}";"Job-Name; Trigger-Auswahl; Beschreibung-Textarea; Speichern; Testen";""
