"Bereich";"Seitentitel";"URL/Pfad";"Sichtbar angezeigt";"Funktionen/Bedienelemente";"Zugriffsstatus";"Hinweise auf Grenzen"
"Einstellungen – Firmeneinstellungen";"Features";"/portal-settings?settings=features";"Feature-Schalter für Wiki, Zeiterfassung Beta, Kalender, Rechnungsstellung Beta, Sprachnotiz, AR iOS Beta, Vorlagen-/Dateizugriff, Rücktritt, mehrere KI-Funktionen.";"Beobachtet: Feature-Toggles, Speichern.";"Zugänglich";"Keine Schalter geändert."
"Einstellungen – Firmeneinstellungen";"Integrationen";"/portal-settings?settings=integrations";"Überschrift Integrationen sichtbar, danach blieb Inhalt auch nach Wartezeit leer.";"Keine belastbaren Bedienelemente beobachtet.";"Zugänglich, aber Inhalt technisch leer/unvollständig";"Google-Workspace-/Microsoft-Status nur aus Profil/Kalender/Postfach ersichtlich; Integrationsseite selbst nicht auswertbar."
"Einstellungen – Organisation";"Rechnungsstellung";"/portal-settings?settings=invoicing&tab=issuing-details";"Rechnungs-Firmendaten, Steuer-/Zahlungsdetails, Textvorlagen und Nummerierung.";"Beobachtet: Formularfelder, Speichern.";"Zugänglich";"Keine Rechnungsdaten geändert."
"Einstellungen – Organisation";"Persönliche Terminkalender";"/portal-settings?settings=calendars&tab=personal-calendars";"Standard-Reonic-Kalender; keine persönliche Microsoft-/Google-Kalender vorhanden.";"Beobachtet: Microsoft-Kalender hinzufügen, Google-Account verbinden, Standardkalender.";"Zugänglich";"Externe Verbindung nicht hergestellt."
"Einstellungen – Organisation";"Unternehmenskalendar";"/portal-settings?settings=calendars&tab=company-calendars";"Google Workspace-Bereich mit Verbindungsaufforderung; Reonic-Kalender-Bereich.";"Beobachtet: Google-Workspace verbinden, Google-Kalender hinzufügen, Reonic-Kalender erstellen.";"Zugänglich; Google Workspace nicht verbunden";"Keine Verbindung/Erstellung."
"Einstellungen – Organisation";"Benutzer-Kalender";"/portal-settings?settings=calendars&tab=user-calendars";"Automatisch generierte Benutzer-/Teamkalender; Daniel Ehmer und Mikail Aslan sichtbar.";"Beobachtet: Kalenderansicht/-verwaltung.";"Zugänglich";"Keine Kalenderänderung."
"Einstellungen – Organisation";"Terminvorlagen";"/portal-settings?settings=calendar-templates";"Keine Terminvorlagen; Archivfilter.";"Beobachtet: Terminvorlage erstellen, Archiviert.";"Zugänglich";"Keine Vorlage erstellt."
"Einstellungen – Organisation";"Kalender-Kategorien";"/portal-settings?settings=calendar-categories";"Keine Kategorien.";"Beobachtet: Kategorie erstellen, Archiviert.";"Zugänglich";"Keine Kategorie erstellt."
"Einstellungen – Organisation";"Ordnerverwaltung";"/portal-settings?settings=folder-management&tab=h360";"Haushalt-/Gewerbe-Tabs; keine Vorlagenordner.";"Beobachtet: Ordner erstellen, Tabs Haushalt/Gewerbe.";"Zugänglich";"Keine Ordneränderung."
"Einstellungen – Organisation";"Persönliche Postfächer";"/portal-settings?settings=mail-inbox&tab=personal-inboxes";"Keine persönlichen Microsoft-/Google-Postfächer.";"Beobachtet: Microsoft-Postfach hinzufügen, Google-Account verbinden.";"Zugänglich";"Keine Mail-Verbindung hergestellt; globale Warnung zu Microsoft-Beeinträchtigungen sichtbar."
"Einstellungen – Organisation";"Firmenweite Postfächer";"/portal-settings?settings=mail-inbox&tab=company-inboxes";"Firmenweite Microsoft-/Google-Postfächer; Lade-/Verbindungszustand sichtbar.";"Beobachtet: Postfach hinzufügen/verbinden.";"Zugänglich; Inhalt teilweise im Ladezustand";"Keine Verbindung hergestellt."
"Einstellungen – Organisation";"Zeiterfassungskategorien";"/portal-settings?settings=time-tracking";"Kategorien Fahrzeit, Umsetzung, Büro, Sonstige.";"Beobachtet: Kategorie erstellen, Archivieren/Verwalten.";"Zugänglich";"Keine Kategorieänderung."
"Einstellungen – Organisation";"Persönliche Benachrichtigungen";"/portal-settings?settings=notifications&tab=personal";"E-Mail-Schalter für Zuweisung, Aufgaben, Checklisten, Termine, tägliche Zusammenfassung; Uhrzeit 10:00; nur überfällig; E-Mail-CC.";"Beobachtet: Toggles, Uhrzeitfeld, Speichern.";"Zugänglich";"Keine Benachrichtigungseinstellung geändert."
"Einstellungen – Organisation";"Firmenweite Benachrichtigungen";"/portal-settings?settings=notifications&tab=company-wide";"Benachrichtigung bei neuer Anfrage; E-Mail-Adresse kontakt@wmee.de sichtbar.";"Beobachtet: Firmenweite Benachrichtigungsschalter/-adressen, Speichern.";"Zugänglich";"Keine Änderung."
"Einstellungen – Kanban Boards";"Board Management";"/portal-settings?settings=kanban-boards&tab=h360";"Haushalts-/Gewerbe-Tabs; Boards Anfrage, Angebot, Installation mit Standardstatus.";"Beobachtet: Board erstellen, Status bearbeiten/archivieren, Tabs.";"Zugänglich";"Keine Boardänderung."
"Einstellungen – Kanban Boards";"Kartenkonfiguration";"/portal-settings?settings=kanban-cards&tab=h360";"Tags DEMO/PV; Warnschwellen; Anzeigeadresse; unvollständige Aufgaben.";"Beobachtet: Karten-/Tag-Konfiguration, Speichern.";"Zugänglich";"Keine Änderung."
"Einstellungen – Aufgaben";"Aufgabenvorlagen & Label";"/portal-settings?settings=tasks&tab=personal";"Persönlich/Firmenweit; keine persönlichen Vorlagen.";"Beobachtet: Vorlage erstellen, Tabs/Archiv.";"Zugänglich";"Keine Vorlage erstellt."
"Einstellungen – Aufgaben";"Projektmanagement (Gewerbe)";"/portal-settings?settings=project-management";"Kein Zugriff; Meldung, dass auch Administratoren keinen Zugriff haben.";"Keine nutzbaren Bearbeitungsfunktionen sichtbar.";"Route zugänglich, Bereich verweigert";"Gewerbe-Projektmanagement nicht aus dieser Sitzung prüfbar."
"Einstellungen – Checklisten";"Qualifikation";"/portal-settings?settings=checklist-qualification&tab=h360";"Haushalts-Checklisteneditor mit Segmenten/Blöcken/Elementen; Gewerbe-Tab gesperrt/deaktiviert.";"Beobachtet: Segment/Block/Element hinzufügen, Vorschau, Speichern.";"Zugänglich für Haushalt; Gewerbe eingeschränkt";"Keine Checkliste geändert."
"Einstellungen – Checklisten";"Beratung";"/portal-settings?settings=checklist-consulting&tab=h360";"Haushaltseditor mit Basisinfos und PV-Abschnitten; Gewerbe gesperrt/deaktiviert.";"Beobachtet: Editor, Vorschau, Speichern.";"Zugänglich für Haushalt; Gewerbe eingeschränkt";"Keine Änderung."
"Einstellungen – Checklisten";"Baustellendokumentation";"/portal-settings?settings=checklist-site-documentation&tab=h360";"Haushaltseditor mit Bohrungen/Gerüst optional sowie DC/AC/PV; Gewerbe gesperrt/deaktiviert.";"Beobachtet: Editor, Abschnitte/Elemente, Vorschau, Speichern.";"Zugänglich für Haushalt; Gewerbe eingeschränkt";"Keine Änderung."
"Einstellungen – Lead Generierung";"Energiehaus – Pakete";"/portal-settings?settings=energyhouse&tab=packages";"PV-, Speicher- und Wallbox-Pakete; sichtbare Paketnamen/Preise; keine Wärmepumpenpakete im Sweep.";"Beobachtet: Pakete hinzufügen, öffentlich-Schalter, Zeilenmenüs.";"Zugänglich";"Paketdaten nur gelesen; keine Ergänzung/Änderung."
"Einstellungen – Lead Generierung";"Energiehaus – Anzeigeeinstellungen";"/portal-settings?settings=energyhouse&tab=display-settings";"Startseite, Stromverbrauchs-Basis/Person, Begrüßungs-/Buttontexte, Paketempfehlung, Anfrage-/Nach-Anfrage-Prozess und Vorschauen.";"Beobachtet: Textfelder, Schalter, Vorschaubereiche, Speichern.";"Zugänglich";"Keine Text-/Schalteränderung."
